Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
59840,-3.21538175967748,-0.364223121381638,-1.26188334354906,3.79494903930385,0.71120593031272,-1.31647560298004,-5.16514055601052,0.625278383544947,-1.582300584728,-3.25263359468289,5.04075120270381,-5.31444220386187,-0.656470662006063,-6.23304367078495,0.974771279276835,-6.8903177453801,-9.51641148491956,-4.36412771489086,2.59857755637223,0.0196261688931224,0.40134124079647,0.152191258747201,-0.93467547449829,-0.256148382367333,-0.469403308828214,-0.282495914081921,0.86607691066145,-0.433465943783225,5.91,1
69297,-2.2046331808701,-0.860875029353761,2.30886819762973,-0.880967315881978,0.135957942329212,0.0777960080059904,-1.23265495407266,1.1226047080962,-0.0680003487188351,-1.09642129587332,1.24970687361123,0.436412814287811,-0.800985251295061,0.418826806190226,0.924015591387806,0.859041796637764,-0.318684299321637,0.137632770400268,-1.48897029194643,0.155199822224382,0.514713962938732,0.789107327496762,-0.170691664705901,-0.233023866288797,-0.0949037637106083,1.04208493431183,-0.0999470076452721,-0.221424113769865,27,-1
77450,-0.797206960580008,0.778591865864333,1.40769282634079,-1.38507493850506,-0.30553338364696,-0.454428293504869,0.254227983153092,0.274936972970517,0.2745642673313,-0.0811312163401232,1.45776349167413,0.169860067309898,-1.40215428992395,0.300871473348939,0.212498227828395,0.519411214313783,-0.53444016128767,-0.261774141992392,-0.926008152316243,0.0144948767963282,-0.0399071048531193,-0.121157041550427,0.0435327472189958,0.225631639266857,-0.389271107033188,0.717956840310785,0.148040338050723,0.112841090987444,2.31,-1
72327,-4.19873460983989,0.194120636801706,-3.91758567828042,3.92074784640417,-1.87548574659158,-2.11893292738694,-3.61444510993627,1.68788446543007,-2.18987113590881,-4.68423332514029,4.37690666362302,-5.00744082816051,-1.30474507803596,-6.19247526385522,1.00240426741391,-3.31693430074553,-6.18883415213498,-1.04041264854272,1.23304434947994,1.0033504305956,0.801312235949018,-0.183000576489906,-0.440386862411508,0.292539411877521,-0.144967421927777,-0.251743981877142,1.24941367428483,-0.131524643545312,238.9,1
5822,-1.74650425866779,2.33689723876266,2.21129212712995,3.8876890742868,-0.40125494089978,1.46292031552466,-0.853871717264807,-1.0906327444556,-0.109369754089606,1.77132629897294,1.66202081183655,-2.15542340043551,2.39773000914082,1.37332855246381,-0.19046075033973,1.03149659171207,0.125485719619651,1.34243456103581,0.138985248894767,-0.0733223574860494,1.50873691807312,-0.127187591476773,0.188787891799022,-0.0872955654291032,-0.365482944030298,0.143745684125039,0.0430142767699438,-0.022648177114314,20.64,-1
41233,-10.6457996485752,5.9183066586857,-11.6710425949575,8.80736917876038,-7.97550136587277,-3.58680634405361,-13.6167970541448,6.42816934590602,-7.36845129274034,-12.8881582878915,6.85495311388866,-13.2116950297251,1.03561234332246,-13.7789556397675,1.04044835530024,-11.2903278082585,-20.5780220491922,-7.54782411219534,3.11847976563045,-0.0461701790327979,2.57196959291347,0.206809359357246,-1.66780140024191,0.558418754024331,-0.0278978765982558,0.354253781525514,0.273328726801416,-0.152908080809092,0,1
33642,0.777350624041879,-0.843001755640698,1.0399403775388,0.552560739465385,-1.18110646565232,0.162887899627162,-0.607987225138626,0.155495050716531,0.415689676691878,-0.0566988644604348,1.08468074537364,1.02472976349083,0.811117858723653,-0.106157047996373,0.899780878247855,1.14897574787901,-1.07789208227636,0.98176406924114,-0.239476454661199,0.412836264579182,0.380834829455089,0.671727367945477,-0.271976510452294,0.0885201916670719,0.143188189574314,0.555838659354525,-0.0265940868140064,0.0547012350704162,214.8,-1
102480,-1.92959692675373,4.0664132778545,-4.86518400996861,5.89860229319899,-0.552492585328532,-1.55596245330906,-3.83362344068736,0.679511648528001,-3.46376549143694,-6.68368922880726,7.02127774818005,-11.1024933822497,1.71175507363653,-10.447632938235,-2.79907615915518,-6.26174085045904,-11.6471577741668,-3.45143614190286,-0.507536514254236,0.942488941965831,1.13721164676769,0.674245235425331,-0.531765489027487,-0.433409350510738,0.378658562357166,0.198107291025294,0.869694411928137,0.228047851815119,0,1
88672,-3.85988078691481,2.63288131193679,-5.2642653095088,3.44611314661501,-0.675231056544998,-1.90495945391597,-3.2910408690196,-0.985766040904484,-1.16811416733417,-3.93629417027159,4.25656448730292,-6.60065448140166,0.00562637646602147,-9.9585309187018,2.47135790380837,-5.7001414199952,-6.38809273753128,-1.83815930102503,2.99317350708135,-0.178626358366056,1.66411901528299,0.785075271950043,0.0684124857414983,0.778960915978384,-0.863165919910699,-0.00680961441649656,-1.06573404007904,1.77332644564776,1.18,1
135095,0.232512476136408,0.938943680000523,-4.64777987861917,3.07984368774547,-1.90265531863884,-1.04140751952949,-1.02040664482631,0.547068603184495,-1.10599029357172,-3.52012767367189,2.07411645462861,-3.01077173816878,0.694977689554512,-5.38783122686352,1.778669797797,-2.93580442477364,-2.28557270821558,-0.237055632781029,1.97974707098703,1.14161507545704,0.911372759326949,1.04292865643844,0.999393887913078,0.901260455221573,-0.452093168108936,0.192959213794113,0.180859449380341,-0.0293153378913553,345,1
